concept_id,concept_name,concept_code,vocabulary_id,location
45757060,Closed fracture of naso orbital ethmoid,103061000119109,SNOMED,skull_face
4012266,Open fracture of C1-C4 level with incomplete spinal cord lesion,10310006,SNOMED,vertebra
4011780,Manual reduction of closed fracture of talus with percutaneous pinning,10311005,SNOMED,foot
4016929,Debridement of open fracture of phalanges of foot,1041009,SNOMED,foot
506584,Primary open reduction of fracture of short bone and fixation using screw,1051941000000102,SNOMED,site_unspec
506585,Closed reduction of fracture of short bone and fixation using screw,1051951000000104,SNOMED,site_unspec
506586,Closed reduction of fracture of bone and fixation using plate,1051961000000101,SNOMED,site_unspec
506587,Remanipulation of fracture of bone and fixation using plate,1051971000000108,SNOMED,site_unspec
77392,Open fracture of eight OR more ribs,10568008,SNOMED,rib_thorax
80860,Open fracture of vertebral column with spinal cord injury,10575009,SNOMED,vertebra
759833,Stress fracture of lateral condyle of right femur,10624611000119102,SNOMED,hip_femur
759834,Stress fracture of lateral condyle of left femur,10624651000119101,SNOMED,hip_femur
759877,Closed fracture of right clavicle,10741801000119106,SNOMED,clav_scap
765286,Open fracture of shaft of metacarpal bone of right hand,10815381000119104,SNOMED,hand
36686096,Open fracture of neck of metacarpal bone of right hand,10815421000119108,SNOMED,hand
759942,Open fracture of proximal phalanx of lesser toe of right foot,10815901000119106,SNOMED,foot
759943,Open fracture of distal phalanx of lesser toe of right foot,10815941000119108,SNOMED,foot
759944,Open fracture of right lower leg,10816221000119100,SNOMED,lowleg_ankle
765102,Open fracture of distal phalanx of little finger of right hand,10816341000119100,SNOMED,hand
759945,Open fracture of proximal phalanx of little finger of right hand,10816421000119101,SNOMED,hand
765287,Open fracture of phalanx of little finger of right hand,10816461000119106,SNOMED,hand
759946,Open fracture of upper end of right tibia,10817141000119101,SNOMED,lowleg_ankle
759947,Open fracture of multiple right ribs,10817461000119109,SNOMED,rib_thorax
765103,Open fracture of shaft of second metacarpal bone of right hand,10817581000119101,SNOMED,hand
759948,Open fracture of second metacarpal bone of right hand,10817661000119106,SNOMED,hand
759949,Open fracture of surgical neck of left humerus,10817701000119104,SNOMED,humerus_elbow
759950,Open fracture of proximal right humerus,10817741000119102,SNOMED,humerus_elbow
759951,Open fracture of metatarsal bone of right foot,10817861000119107,SNOMED,foot
40310992,Closed reduction of fracture of knee,150620006,SNOMED,knee
765288,Open fracture of middle phalanx of middle finger of right hand,10818061000119102,SNOMED,hand
759953,Open fracture of distal phalanx of middle finger of right hand,10818141000119102,SNOMED,hand
759954,Open fracture of distal phalanx of index finger of left hand,10818181000119107,SNOMED,hand
765289,Open fracture of distal phalanx of little finger of left hand,10818221000119104,SNOMED,hand
759955,Open fracture of distal phalanx of middle finger of left hand,10818261000119109,SNOMED,hand
759956,Open fracture of distal phalanx of ring finger of left hand,10818301000119101,SNOMED,hand
759957,Open fracture of proximal phalanx of middle finger of right hand,10818341000119104,SNOMED,hand
759958,Open fracture of phalanx of middle finger of right hand,10818381000119109,SNOMED,hand
759959,Open fracture of olecranon of right ulna,10818421000119100,SNOMED,forearm_wrist
759960,Open fracture of proximal end of right radius,10818461000119105,SNOMED,forearm_wrist
759961,Open fracture of right radius,10818501000119105,SNOMED,forearm_wrist
759962,Open trimalleolar fracture of left ankle,10818901000119102,SNOMED,lowleg_ankle
759963,Open fracture of distal end of left tibia,10818981000119105,SNOMED,lowleg_ankle
765290,Open fracture of shaft of left tibia,10819021000119104,SNOMED,lowleg_ankle
759964,Open fracture of medial condyle of left tibia,10819221000119107,SNOMED,lowleg_ankle
759965,Open fracture of left tibia,10819301000119105,SNOMED,lowleg_ankle
45757200,Open bilateral fracture of multiple ribs,10819341000119107,SNOMED,rib_thorax
759966,Open fracture of distal end of left ulna,10819461000119101,SNOMED,forearm_wrist
759967,Open fracture of shaft of left ulna,10819541000119104,SNOMED,forearm_wrist
759968,Open fracture of left ulna,10819621000119109,SNOMED,forearm_wrist
759969,Open fracture of left lateral malleolus of fibula,10819701000119106,SNOMED,lowleg_ankle
759970,Open fracture of distal left humerus,10819781000119103,SNOMED,humerus_elbow
765291,Open fracture of shaft of left clavicle,10819861000119103,SNOMED,clav_scap
759971,Open fracture of left ankle,10819981000119101,SNOMED,lowleg_ankle
759972,Open fracture of cuboid bone of left foot,10820021000119103,SNOMED,foot
759973,Open fracture of phalanx of left foot,10820061000119108,SNOMED,foot
759975,Open fracture of neck of left femur,10820141000119108,SNOMED,hip_femur
759976,Open fracture of distal end of left radius,10820301000119109,SNOMED,forearm_wrist
759977,Open fracture of base of fifth metacarpal bone of right hand,10820811000119100,SNOMED,hand
765292,Open fracture of base of fifth metacarpal bone of left hand,10820851000119104,SNOMED,hand
759978,Open fracture of distal end of right tibia,10820891000119109,SNOMED,lowleg_ankle
759979,Open fracture of distal end of right ulna,10820931000119101,SNOMED,forearm_wrist
759980,Open fracture of distal end of right fibula,10820971000119103,SNOMED,lowleg_ankle
36686097,Open fracture of shaft of right fibula,10821011000119103,SNOMED,lowleg_ankle
36686098,Open fracture of shaft of left fibula,10821051000119102,SNOMED,lowleg_ankle
759981,Open fracture of right fibula,10821091000119107,SNOMED,lowleg_ankle
759983,Open fracture of neck of fifth metacarpal bone of right hand,10821251000119105,SNOMED,hand
759984,Open fracture of fifth metacarpal bone of right hand,10821331000119106,SNOMED,hand
759985,Open fracture of fifth metacarpal bone of left hand,10821371000119109,SNOMED,hand
759986,Open fracture of distal right humerus,10821411000119105,SNOMED,humerus_elbow
759987,Open fracture of cuboid bone of right foot,10821451000119106,SNOMED,foot
759988,Open intertrochanteric fracture of right femur,10821491000119101,SNOMED,hip_femur
759989,Open intertrochanteric fracture of left femur,10821531000119101,SNOMED,hip_femur
759990,Open fracture of base of neck of right femur,10821851000119109,SNOMED,hip_femur
759991,Open fracture of neck of right femur,10821931000119107,SNOMED,hip_femur
765104,Open fracture of shaft of right femur,10821971000119105,SNOMED,hip_femur
759992,Open fracture of shaft of left femur,10822011000119106,SNOMED,hip_femur
759993,Open supracondylar fracture of left femur,10822091000119102,SNOMED,hip_femur
759994,Open fracture of right femur,10822451000119103,SNOMED,hip_femur
759995,Open fracture of left femur,10822491000119108,SNOMED,hip_femur
759996,Open fracture of right elbow,10822531000119108,SNOMED,humerus_elbow
759997,Open fracture of distal end of right radius,10822571000119106,SNOMED,forearm_wrist
759998,Open fracture of metacarpal bone of right thumb,10822731000119104,SNOMED,hand
759999,Open fracture of shaft of metacarpus of right thumb,10822771000119101,SNOMED,hand
760000,Open fracture of lateral cuneiform bone of left foot,10822891000119105,SNOMED,foot
765293,Open fracture of fifth metatarsal bone of right foot,10822931000119102,SNOMED,foot
760001,Open fracture of first metatarsal bone of right foot,10823011000119104,SNOMED,foot
760002,Open fracture of metaphysis of first metatarsal bone of right foot,10823051000119103,SNOMED,foot
760003,Open fracture of proximal phalanx of lesser toe of left foot,10823131000119105,SNOMED,foot
760004,Open fracture of distal phalanx of lesser toe of left foot,10823171000119108,SNOMED,foot
760005,Open fracture of right foot,10823251000119106,SNOMED,foot
760006,Open fracture of middle phalanx of index finger of left hand,10823291000119101,SNOMED,hand
765294,Open fracture of middle phalanx of little finger of left hand,10823331000119107,SNOMED,hand
760007,Open fracture of middle phalanx of ring finger of left hand,10823411000119106,SNOMED,hand
760008,Open mallet fracture of distal phalanx of little finger of left hand,10823491000119102,SNOMED,hand
760009,Open fracture of proximal phalanx of index finger of left hand,10823691000119104,SNOMED,hand
760010,Open fracture of proximal phalanx of little finger of left hand,10823731000119106,SNOMED,hand
760011,Open fracture of phalanx of finger of right hand,10823851000119105,SNOMED,hand
760012,Open fracture of phalanx of index finger of left hand,10823891000119100,SNOMED,hand
